# Generated by Log[com.rapidminer.datatable.SimpleDataTable]
# Criterion	PerformancMainCrit	StdDeviation	Minimal size for split	Minimal leaf size	Minimal gain
information_gain	0.5415748347024645	0.015736529132775946	21.0	31.0	0.0
gini_index	0.5411028075136336	0.017330272699332815	21.0	31.0	0.0
accuracy	0.5350806451612903	0.01729905666418341	21.0	31.0	0.0
information_gain	0.5474569483380056	0.023811861140011097	31.0	31.0	0.0
gini_index	0.5470327008477998	0.016200977350883574	31.0	31.0	0.0
gain_ratio	0.5560016057808109	0.01902791083989461	31.0	31.0	0.0
gain_ratio	0.5533279871692061	0.017763906970133973	41.0	31.0	0.0
accuracy	0.5320008075913588	0.016223877007776277	31.0	31.0	0.0
gini_index	0.5442424242424242	0.012397670399771413	41.0	31.0	0.0
information_gain	0.5509509509509509	0.016177130084143038	41.0	31.0	0.0
gain_ratio	0.5563789305027038	0.017546809981579384	51.0	31.0	0.0
accuracy	0.5326328551222469	0.027241991109018614	41.0	31.0	0.0
gini_index	0.5387878787878788	0.023977086891681217	51.0	31.0	0.0
information_gain	0.5421421421421422	0.02318290190786547	51.0	31.0	0.0
accuracy	0.5318117552009695	0.01871798190757096	51.0	31.0	0.0
gain_ratio	0.5627757721620538	0.021934095825580598	60.0	31.0	0.0
information_gain	0.5440320962888666	0.023427149038725666	60.0	31.0	0.0
gini_index	0.5389269866881807	0.025472073671001162	60.0	31.0	0.0
accuracy	0.5353678253839935	0.010867655758699512	60.0	31.0	0.0
gain_ratio	0.558209554395825	0.027600232627402792	70.0	31.0	0.0
information_gain	0.5443621069497296	0.01907947161946412	70.0	31.0	0.0
gini_index	0.5374974732160905	0.02363143999584367	70.0	31.0	0.0
accuracy	0.5263583114522319	0.02191013507311385	70.0	31.0	0.0
information_gain	0.5412329863891113	0.021732734044045837	80.0	31.0	0.0
gain_ratio	0.5602325115253558	0.015612758072999338	80.0	31.0	0.0
accuracy	0.5307070707070707	0.017882303855491194	80.0	31.0	0.0
gini_index	0.5471812487371186	0.020277614384961503	80.0	31.0	0.0
gain_ratio	0.5587881219903692	0.02368030644956225	90.0	31.0	0.0
information_gain	0.5454363490792634	0.021331335615229177	90.0	31.0	0.0
gini_index	0.5401091129521115	0.013474226459799985	90.0	31.0	0.0
accuracy	0.5277385515432721	0.01969057151026912	90.0	31.0	0.0
gain_ratio	0.5519246190858059	0.024750668726616718	100.0	31.0	0.0
information_gain	0.546965752052874	0.022566663495249505	100.0	31.0	0.0
gini_index	0.5492929292929293	0.021787839222406437	100.0	31.0	0.0
gain_ratio	0.566987565182511	0.022474280407322307	1.0	41.0	0.0
accuracy	0.5311932162325863	0.02161792867574491	100.0	31.0	0.0
information_gain	0.5477477477477477	0.016538162257748918	1.0	41.0	0.0
gini_index	0.5445405188015282	0.02339131898199756	1.0	41.0	0.0
accuracy	0.5421953675730111	0.024079062200931527	1.0	41.0	0.0
gain_ratio	0.5638404489877731	0.029654347375526524	11.0	41.0	0.0
information_gain	0.5527527527527527	0.015147244720097531	11.0	41.0	0.0
gini_index	0.5501911084288875	0.03082509600465264	11.0	41.0	0.0
accuracy	0.5362173038229376	0.018173190338728277	11.0	41.0	0.0
gain_ratio	0.5610098176718092	0.023599324630318812	21.0	41.0	0.0
information_gain	0.5461461461461461	0.014345613891543593	21.0	41.0	0.0
gini_index	0.5495169082125604	0.020714222518116453	21.0	41.0	0.0
accuracy	0.530299979867123	0.013718810182014488	21.0	41.0	0.0
information_gain	0.5404161664665866	0.020023740773829745	31.0	41.0	0.0
gain_ratio	0.561122244488978	0.022592309350795793	31.0	41.0	0.0
gini_index	0.5462235649546828	0.019356666776259992	31.0	41.0	0.0
accuracy	0.5379963716992542	0.023622272622948005	31.0	41.0	0.0
gain_ratio	0.565078093712455	0.018391974935563993	41.0	41.0	0.0
information_gain	0.5349349349349349	0.02671002917612815	41.0	41.0	0.0
gini_index	0.5568319226118501	0.023031747237351713	41.0	41.0	0.0
accuracy	0.5310802655401328	0.02077000869815177	41.0	41.0	0.0
information_gain	0.5494593512214657	0.020093491926435347	51.0	41.0	0.0
gain_ratio	0.5670475045099218	0.024724697206625117	51.0	41.0	0.0
gini_index	0.5374848851269649	0.015002436944006804	51.0	41.0	0.0
accuracy	0.535829307568438	0.016759340307964818	51.0	41.0	0.0
information_gain	0.5456365092073658	0.013856378525348377	60.0	41.0	0.0
gain_ratio	0.5630134241634943	0.017340706839067955	60.0	41.0	0.0
gini_index	0.5463876031394647	0.010206644910400011	60.0	41.0	0.0
accuracy	0.5337225689551037	0.022395686395231547	60.0	41.0	0.0
gain_ratio	0.5757515030060121	0.023954679738068252	70.0	41.0	0.0
information_gain	0.5509509509509509	0.02530370151993038	70.0	41.0	0.0
gini_index	0.5405078597339782	0.017361433499505502	70.0	41.0	0.0
accuracy	0.5347292128045098	0.019541409080392945	70.0	41.0	0.0
information_gain	0.5368294635708567	0.019663411914473346	80.0	41.0	0.0
gain_ratio	0.5621870618866412	0.013383965889897544	80.0	41.0	0.0
accuracy	0.5379351982290199	0.016258636922409947	80.0	41.0	0.0
gini_index	0.5454728370221328	0.01976749382075064	80.0	41.0	0.0
gain_ratio	0.5647907069897857	0.021610908502305057	90.0	41.0	0.0
information_gain	0.5424509411293552	0.014268682481802245	90.0	41.0	0.0
gini_index	0.5444287729196051	0.025391853973276785	90.0	41.0	0.0
accuracy	0.524230846571486	0.018869401709129503	90.0	41.0	0.0
information_gain	0.5516206482593037	0.023939202473740064	100.0	41.0	0.0
gain_ratio	0.5630756908289948	0.01647642891369633	100.0	41.0	0.0
gini_index	0.5431103948428686	0.027024270926176625	100.0	41.0	0.0
accuracy	0.5355488418932528	0.018823344111468826	100.0	41.0	0.0
information_gain	0.5457274364618772	0.02583791993706354	1.0	51.0	0.0
gain_ratio	0.5581348809285571	0.01755992075046668	1.0	51.0	0.0
gini_index	0.551004016064257	0.026067834302666886	1.0	51.0	0.0
accuracy	0.5316201565950612	0.013950193673372488	1.0	51.0	0.0
information_gain	0.5433259955973584	0.027163627460498514	11.0	51.0	0.0
gain_ratio	0.5585585585585585	0.018028967524375134	11.0	51.0	0.0
gini_index	0.5524096385542169	0.022160840229028592	11.0	51.0	0.0
accuracy	0.5334270226862076	0.01691444746493394	11.0	51.0	0.0
gain_ratio	0.5497497497497498	0.02397708688182436	21.0	51.0	0.0
gini_index	0.5520979722947199	0.016485451191395776	21.0	51.0	0.0
information_gain	0.5396	0.018413038858373084	21.0	51.0	0.0
accuracy	0.5336277855852238	0.014063391881614797	21.0	51.0	0.0
gain_ratio	0.5558446757405925	0.01906375910455946	31.0	51.0	0.0
information_gain	0.5560224089635855	0.022982692436480368	31.0	51.0	0.0
accuracy	0.5372265703391531	0.020562741414273344	31.0	51.0	0.0
gini_index	0.5531017867898013	0.01853994354419318	31.0	51.0	0.0
information_gain	0.5407244346607964	0.011507245181185639	41.0	51.0	0.0
gain_ratio	0.5609609609609609	0.019966090658298765	41.0	51.0	0.0
gini_index	0.5481734243275793	0.017260549497217472	41.0	51.0	0.0
gain_ratio	0.5559783697176046	0.01320772686601771	51.0	51.0	0.0
accuracy	0.5312061007425246	0.013824441337342525	41.0	51.0	0.0
information_gain	0.5488195278111244	0.01261116604083887	51.0	51.0	0.0
gini_index	0.5549979927739863	0.01653781978065949	51.0	51.0	0.0
accuracy	0.5343511450381679	0.013209731392254323	51.0	51.0	0.0
gain_ratio	0.5445445445445446	0.0222244272904345	60.0	51.0	0.0
information_gain	0.549129477686612	0.024594757731332892	60.0	51.0	0.0
accuracy	0.5341639871382636	0.021780451054258246	60.0	51.0	0.0
gini_index	0.5504421221864951	0.017987776772571934	60.0	51.0	0.0
gain_ratio	0.5517517517517517	0.024761050748775354	70.0	51.0	0.0
gini_index	0.5516064257028113	0.018511386405294553	70.0	51.0	0.0
information_gain	0.5387232339403643	0.015460378380410486	70.0	51.0	0.0
gain_ratio	0.5553553553553554	0.012757444278453668	80.0	51.0	0.0
accuracy	0.533025496888175	0.022859087424834904	70.0	51.0	0.0
gini_index	0.5513643659711075	0.014899616698034556	80.0	51.0	0.0
information_gain	0.5445267160296178	0.02318067574721322	80.0	51.0	0.0
gain_ratio	0.5507710795113159	0.022008711139304894	90.0	51.0	0.0
accuracy	0.5297427652733119	0.014405564621477237	80.0	51.0	0.0
information_gain	0.5487292375425256	0.019537361201703775	90.0	51.0	0.0
accuracy	0.5374422806665329	0.016017844464536746	90.0	51.0	0.0
gini_index	0.5409638554216868	0.024717961200308447	90.0	51.0	0.0
information_gain	0.5498199279711885	0.015398238533567013	100.0	51.0	0.0
gain_ratio	0.5508406725380304	0.025010308178803755	100.0	51.0	0.0
accuracy	0.536144578313253	0.016098067754084074	100.0	51.0	0.0
gini_index	0.5520979722947199	0.028617843818858315	100.0	51.0	0.0
gain_ratio	0.552062474969964	0.023506675753645546	1.0	60.0	0.0
gini_index	0.5546639919759278	0.030314299313602435	1.0	60.0	0.0
information_gain	0.5490196078431373	0.01633081012860195	1.0	60.0	0.0
accuracy	0.5384152457372117	0.024287655527739115	1.0	60.0	0.0
gain_ratio	0.5643028846153846	0.014312825801479837	11.0	60.0	0.0
information_gain	0.5603120624124825	0.01521367625384038	11.0	60.0	0.0
accuracy	0.5381840048105833	0.02384630730661055	11.0	60.0	0.0
gini_index	0.5541516245487365	0.016710417890756325	11.0	60.0	0.0
gain_ratio	0.5500400320256205	0.023448888821138297	21.0	60.0	0.0
information_gain	0.5526210484193678	0.01630309887128978	21.0	60.0	0.0
gini_index	0.5384923817161187	0.026011361072187086	21.0	60.0	0.0
accuracy	0.5317698937662858	0.025495115136630796	21.0	60.0	0.0
gain_ratio	0.5638510808646917	0.008808302001627714	31.0	60.0	0.0
information_gain	0.5514205682272909	0.01307117935521025	31.0	60.0	0.0
gini_index	0.5522987351937362	0.021832100817211163	31.0	60.0	0.0
accuracy	0.5344827586206896	0.021518564513232755	31.0	60.0	0.0
gain_ratio	0.5512409927942354	0.01815600509089477	41.0	60.0	0.0
information_gain	0.5550220088035214	0.017695893370588512	41.0	60.0	0.0
gini_index	0.548024864648085	0.01727970777225934	41.0	60.0	0.0
accuracy	0.5425531914893617	0.024715558064790467	41.0	60.0	0.0
gain_ratio	0.5627627627627627	0.024370407848322558	51.0	60.0	0.0
information_gain	0.556	0.01991983935677995	51.0	60.0	0.0
gini_index	0.547131969514641	0.020989872570768595	51.0	60.0	0.0
accuracy	0.533908507223114	0.021197484993988307	51.0	60.0	0.0
information_gain	0.5514205682272909	0.02203989573295326	60.0	60.0	0.0
gain_ratio	0.5540216086434574	0.02054088620073682	60.0	60.0	0.0
gini_index	0.5465302847974328	0.016201343536550752	60.0	60.0	0.0
accuracy	0.5341888911169039	0.02063552926081152	60.0	60.0	0.0
gain_ratio	0.5522627152583099	0.013608360714481632	70.0	60.0	0.0
information_gain	0.5542216886754702	0.017514636412576078	70.0	60.0	0.0
gini_index	0.5533493782591256	0.019973650986090552	70.0	60.0	0.0
accuracy	0.5324101946618502	0.024077135173862535	70.0	60.0	0.0
gain_ratio	0.5615615615615616	0.017918379174174767	80.0	60.0	0.0
information_gain	0.5471282769661797	0.007171729585831484	80.0	60.0	0.0
gini_index	0.548354735152488	0.018012861134076463	80.0	60.0	0.0
accuracy	0.5303789853619411	0.017220754080183684	80.0	60.0	0.0
gain_ratio	0.5529058116232465	0.014417853094962145	90.0	60.0	0.0
information_gain	0.5546218487394958	0.02023795547251239	90.0	60.0	0.0
gini_index	0.5462201724483657	0.021665165265534077	90.0	60.0	0.0
accuracy	0.5381840048105833	0.020474941219880582	90.0	60.0	0.0
gain_ratio	0.5651651651651651	0.02740042372497841	100.0	60.0	0.0
information_gain	0.5540216086434574	0.02537558651462738	100.0	60.0	0.0
gini_index	0.5538152610441767	0.022026742818598465	100.0	60.0	0.0
accuracy	0.535219747140277	0.026290665899165157	100.0	60.0	0.0
gain_ratio	0.5566907051282052	0.02106256581107417	1.0	70.0	0.0
information_gain	0.5460184073629452	0.022330256179513227	1.0	70.0	0.0
gini_index	0.5480961923847696	0.021328268871367722	1.0	70.0	0.0
accuracy	0.538846615939127	0.018834804314972392	1.0	70.0	0.0
gain_ratio	0.5547766873623072	0.020052671440420666	11.0	70.0	0.0
