# Generated by Log[com.rapidminer.datatable.SimpleDataTable]
# Criterion	PerformancMainCrit	StdDeviation	Minimal size for split	Minimal leaf size	Minimal gain
gain_ratio	0.5144927536231884	0.052905176527275444	11.0	11.0	0.0
information_gain	0.5136268343815513	0.039000000135381664	11.0	11.0	0.0
gini_index	0.5026737967914439	0.033651468527210626	11.0	11.0	0.0
accuracy	0.5148936170212766	0.046294811751812465	11.0	11.0	0.0
gain_ratio	0.5286757038581856	0.046287900891134354	21.0	11.0	0.0
information_gain	0.5277486910994764	0.019071177705655255	21.0	11.0	0.0
gini_index	0.5255319148936171	0.03710214434803665	21.0	11.0	0.0
accuracy	0.509594882729211	0.05084930334874162	21.0	11.0	0.0
information_gain	0.5302713987473904	0.06518667471362229	31.0	11.0	0.0
gain_ratio	0.5386221294363257	0.03421760770091551	31.0	11.0	0.0
gini_index	0.5216931216931217	0.04090804112265681	31.0	11.0	0.0
gain_ratio	0.5140771637122002	0.05952265657166269	41.0	11.0	0.0
accuracy	0.5	0.06332074313627888	31.0	11.0	0.0
information_gain	0.5197095435684648	0.05417896739975725	41.0	11.0	0.0
gini_index	0.5292242295430393	0.053266460278681496	41.0	11.0	0.0
accuracy	0.5079365079365079	0.04113324128436695	41.0	11.0	0.0
gain_ratio	0.5187110187110187	0.03755148253866271	51.0	11.0	0.0
information_gain	0.5157563025210085	0.07622062736654804	51.0	11.0	0.0
gini_index	0.5168295331161781	0.06389380592729697	51.0	11.0	0.0
accuracy	0.5073839662447257	0.03485612572599375	51.0	11.0	0.0
gain_ratio	0.5217842323651453	0.041336552776317946	60.0	11.0	0.0
information_gain	0.5234619395203337	0.044830685996477805	60.0	11.0	0.0
gini_index	0.5393743257820928	0.04177968099309126	60.0	11.0	0.0
accuracy	0.5031712473572939	0.04707830445235246	60.0	11.0	0.0
gain_ratio	0.5150884495317378	0.030893268256365986	70.0	11.0	0.0
information_gain	0.5338894681960376	0.03388304885459867	70.0	11.0	0.0
accuracy	0.48783068783068784	0.040505409118047744	70.0	11.0	0.0
gini_index	0.5346320346320347	0.03727000279473939	70.0	11.0	0.0
gain_ratio	0.5062370062370062	0.03262837231481779	80.0	11.0	0.0
information_gain	0.5099476439790576	0.042614350282119774	80.0	11.0	0.0
gini_index	0.5378868729989328	0.045310108704219275	80.0	11.0	0.0
accuracy	0.5133120340788072	0.07433951356922472	80.0	11.0	0.0
information_gain	0.5160955347871236	0.061524579902486776	90.0	11.0	0.0
gain_ratio	0.5209205020920502	0.026904991880017933	90.0	11.0	0.0
gini_index	0.5295381310418904	0.05374791293076605	90.0	11.0	0.0
accuracy	0.5010638297872341	0.05385539368352726	90.0	11.0	0.0
gain_ratio	0.5047219307450157	0.03710362222608571	100.0	11.0	0.0
information_gain	0.5250521920668059	0.059674195093265714	100.0	11.0	0.0
gini_index	0.5245202558635395	0.04558365054819932	100.0	11.0	0.0
accuracy	0.5021186440677966	0.03281202618123043	100.0	11.0	0.0
gain_ratio	0.5462776659959758	0.03473742967980231	1.0	21.0	0.0
information_gain	0.5513078470824949	0.03135838290636771	1.0	21.0	0.0
gini_index	0.5384615384615384	0.07524727148362363	1.0	21.0	0.0
accuracy	0.5334685598377282	0.026781456642531405	1.0	21.0	0.0
gain_ratio	0.5545454545454546	0.042306219274772246	11.0	21.0	0.0
information_gain	0.549748743718593	0.042637186833217704	11.0	21.0	0.0
gini_index	0.5455465587044535	0.04430066684552162	11.0	21.0	0.0
accuracy	0.5243407707910751	0.03948317420533655	11.0	21.0	0.0
gain_ratio	0.5352112676056338	0.06060384023710375	21.0	21.0	0.0
information_gain	0.5421686746987951	0.0381148951209161	21.0	21.0	0.0
gini_index	0.5673758865248227	0.03148116867777442	21.0	21.0	0.0
accuracy	0.5391658189216684	0.04292675048019241	21.0	21.0	0.0
information_gain	0.535678391959799	0.040076858360703495	31.0	21.0	0.0
