# Generated by Log[com.rapidminer.datatable.SimpleDataTable]
# Criterion	PerformancMainCrit	StdDeviation	Minimal size for split	Minimal leaf size	Minimal gain
gini_index	0.557427258805513	0.011029323553714951	90.0	11.0	0.0
information_gain	0.5482420278004906	0.015379793550346878	90.0	11.0	0.0
accuracy	0.5513551077136901	0.018376950713768186	90.0	11.0	0.0
gain_ratio	0.5524446872439224	0.014667375949447406	100.0	11.0	0.0
information_gain	0.5485589400355143	0.01600827707490521	100.0	11.0	0.0
gini_index	0.5558499511923023	0.013406406831898513	100.0	11.0	0.0
information_gain	0.5563587684069612	0.01052115420859522	1.0	21.0	0.0
gain_ratio	0.5614693658667381	0.016069061836718405	1.0	21.0	0.0
accuracy	0.5543055555555556	0.013859856753721101	100.0	11.0	0.0
gini_index	0.557972972972973	0.018257965538173812	1.0	21.0	0.0
information_gain	0.5655320289466631	0.014836224919579245	11.0	21.0	0.0
accuracy	0.5478449444293847	0.017129487213470636	1.0	21.0	0.0
gain_ratio	0.5634463352539193	0.014279623829921683	11.0	21.0	0.0
gini_index	0.5560064935064936	0.013592199833272919	11.0	21.0	0.0
information_gain	0.5634218289085545	0.012705462865782464	21.0	21.0	0.0
accuracy	0.5456887201735358	0.007757452010665605	11.0	21.0	0.0
gain_ratio	0.5559726504893417	0.01876973050821217	21.0	21.0	0.0
gini_index	0.5614320585842149	0.019263246326544508	21.0	21.0	0.0
accuracy	0.5503991340819916	0.009306176069574075	21.0	21.0	0.0
information_gain	0.5554215252647098	0.011849422943736422	31.0	21.0	0.0
gain_ratio	0.5578468130690948	0.018074306348378453	31.0	21.0	0.0
gini_index	0.5609756097560976	0.015070518958323096	31.0	21.0	0.0
accuracy	0.5545158665581774	0.01592680052569227	31.0	21.0	0.0
gain_ratio	0.5625837577057089	0.009829758614659082	41.0	21.0	0.0
information_gain	0.5601715357812919	0.019203694780160055	41.0	21.0	0.0
accuracy	0.5466973470492691	0.017679540205601082	41.0	21.0	0.0
gini_index	0.5613226724488413	0.015294124256645504	41.0	21.0	0.0
information_gain	0.5563455862624095	0.018662694506797143	51.0	21.0	0.0
gain_ratio	0.5593197643277986	0.010397995347202541	51.0	21.0	0.0
gini_index	0.5606286411055412	0.01394162724823421	51.0	21.0	0.0
accuracy	0.5497623896809233	0.01211587621496827	51.0	21.0	0.0
gain_ratio	0.5614951768488746	0.01345905789085031	60.0	21.0	0.0
information_gain	0.5558385842606247	0.013420701870095919	60.0	21.0	0.0
accuracy	0.5471928397070789	0.01775076694835316	60.0	21.0	0.0
gini_index	0.549011643650149	0.013342524379334243	60.0	21.0	0.0
gain_ratio	0.5562248995983936	0.017933131571216235	70.0	21.0	0.0
information_gain	0.5615374313646713	0.01311157385230282	70.0	21.0	0.0
gini_index	0.5612300189650501	0.019622874682054908	70.0	21.0	0.0
accuracy	0.5478001086366105	0.01653394315835722	70.0	21.0	0.0
gain_ratio	0.5620310825294748	0.014315459439957313	80.0	21.0	0.0
information_gain	0.560969080444385	0.018206645833121437	80.0	21.0	0.0
gini_index	0.5613488624052004	0.014664459677125553	80.0	21.0	0.0
accuracy	0.5522063815342838	0.016792414156477295	80.0	21.0	0.0
information_gain	0.5527126590756866	0.015477225939669274	90.0	21.0	0.0
gain_ratio	0.5521447721179624	0.018587348272540355	90.0	21.0	0.0
gini_index	0.5599134433324316	0.016539899782863368	90.0	21.0	0.0
gain_ratio	0.5571198712791633	0.016741497722011302	100.0	21.0	0.0
accuracy	0.5494922139471903	0.021263068385268757	90.0	21.0	0.0
gini_index	0.558560995401677	0.01340492680776791	100.0	21.0	0.0
information_gain	0.5553916309012875	0.017034971274812856	100.0	21.0	0.0
accuracy	0.5543964232488823	0.01580313652020953	100.0	21.0	0.0
gain_ratio	0.5562383115148277	0.015283103524738852	1.0	31.0	0.0
information_gain	0.5621159497729095	0.010376115028701732	1.0	31.0	0.0
gini_index	0.5604838709677419	0.018664758611618135	1.0	31.0	0.0
accuracy	0.552493614733163	0.017827528988011813	1.0	31.0	0.0
information_gain	0.562767094017094	0.020227834737074117	11.0	31.0	0.0
gain_ratio	0.5685672319401789	0.012154597436565075	11.0	31.0	0.0
gini_index	0.5555406312961719	0.016000460756922564	11.0	31.0	0.0
accuracy	0.5559892328398385	0.01199671248447475	11.0	31.0	0.0
information_gain	0.5589373915365105	0.009898662412687465	21.0	31.0	0.0
